cascade_id,total_retweets,original_tweet_time,klout_score,sentiment,reach
cascade_6_20_41,10,6-20,41,0.0,259
cascade_5_15_31,9,5-15,31,0.0,471
cascade_6_15_42,6,6-15,42,0.0,209
cascade_7_8_49,6,7-8,49,0.0,15586
cascade_6_19_45,6,6-19,45,0.0,618
cascade_3_7_53,5,3-7,53,0.0,1852
cascade_4_1_53,5,4-1,53,0.0,1866
cascade_7_14_41,5,7-14,41,3.0,127
cascade_4_21_42,5,4-21,42,0.0,668
cascade_7_8_48,4,7-8,48,0.0,17390
cascade_6_20_43,4,6-20,43,0.0,371
cascade_6_14_41,4,6-14,41,0.0,191
cascade_4_12_44,4,4-12,44,0.0,287
cascade_7_2_0,4,7-2,0,0.0,223
cascade_5_7_42,4,5-7,42,0.0,898
cascade_5_17_43,4,5-17,43,0.0,308
cascade_6_19_42,4,6-19,42,2.0,193
cascade_7_8_43,4,7-8,43,0.0,349
cascade_4_11_24,4,4-11,24,1.0,121
cascade_5_15_44,4,5-15,44,0.0,329
cascade_2_9_41,3,2-9,41,0.0,268
cascade_6_18_46,3,6-18,46,0.0,8616
cascade_5_18_24,3,5-18,24,0.0,42
cascade_6_7_31,3,6-7,31,0.0,471
cascade_6_14_44,3,6-14,44,0.0,478
cascade_5_18_36,3,5-18,36,0.0,278
cascade_7_2_49,3,7-2,49,0.0,2227
cascade_4_16_42,3,4-16,42,1.5,194
cascade_4_16_46,3,4-16,46,1.5,1517
cascade_4_21_43,3,4-21,43,0.0,309
cascade_7_9_47,3,7-9,47,0.0,1198
cascade_5_7_43,3,5-7,43,2.0,1296
cascade_4_15_48,3,4-15,48,0.0,2280
cascade_6_1_41,3,6-1,41,1.0,291
cascade_6_1_43,3,6-1,43,0.0,840
cascade_7_3_25,3,7-3,25,0.0,331
cascade_6_20_46,3,6-20,46,0.0,552
cascade_4_22_43,3,4-22,43,0.0,372
cascade_3_16_28,3,3-16,28,0.0,62
cascade_5_10_43,3,5-10,43,0.0,686
cascade_4_10_42,3,4-10,42,3.0,160
cascade_7_7_48,3,7-7,48,0.0,17390
cascade_6_21_43,3,6-21,43,0.0,319
cascade_5_14_40,3,5-14,40,0.0,658
cascade_5_15_33,3,5-15,33,0.0,424
cascade_5_14_47,3,5-14,47,0.0,719
cascade_6_23_20,3,6-23,20,0.0,49
cascade_5_14_31,3,5-14,31,-2.0,44
cascade_6_23_44,3,6-23,44,0.0,504
cascade_6_11_41,3,6-11,41,0.0,221
cascade_6_22_41,3,6-22,41,4.0,85
cascade_5_15_25,3,5-15,25,0.0,99
cascade_5_13_41,3,5-13,41,1.0,781
cascade_5_10_48,3,5-10,48,0.0,17339
cascade_6_10_47,3,6-10,47,0.0,926
cascade_7_14_20,3,7-14,20,0.0,12
cascade_7_4_12,3,7-4,12,0.0,16
cascade_5_12_26,3,5-12,26,0.0,160
cascade_4_13_31,3,4-13,31,0.0,38
cascade_7_1_52,3,7-1,52,0.0,4982
cascade_5_10_27,3,5-10,27,0.0,75
cascade_4_12_43,3,4-12,43,0.0,368
cascade_5_11_42,3,5-11,42,0.0,210
cascade_7_1_43,3,7-1,43,2.0,321
cascade_7_1_0,3,7-1,0,0.0,556
